method,item_key,selected_count,selection_prob
reservoir,2021-04-01|AAPL,4,0.008
reservoir,2021-04-01|AMD,5,0.01
reservoir,2021-04-01|ASML,2,0.004
reservoir,2021-04-01|INTC,1,0.002
reservoir,2021-04-01|META,2,0.004
reservoir,2021-04-01|MSFT,3,0.006
reservoir,2021-04-01|NVDA,2,0.004
reservoir,2021-04-01|ORCL,3,0.006
reservoir,2021-04-05|AAPL,0,0.0
reservoir,2021-04-05|AMD,3,0.006
reservoir,2021-04-05|ASML,3,0.006
reservoir,2021-04-05|INTC,0,0.0
reservoir,2021-04-05|META,2,0.004
reservoir,2021-04-05|MSFT,0,0.0
reservoir,2021-04-05|NVDA,3,0.006
reservoir,2021-04-05|ORCL,3,0.006
reservoir,2021-04-06|AAPL,6,0.012
reservoir,2021-04-06|AMD,0,0.0
reservoir,2021-04-06|ASML,5,0.01
reservoir,2021-04-06|INTC,1,0.002
reservoir,2021-04-06|META,5,0.01
reservoir,2021-04-06|MSFT,1,0.002
reservoir,2021-04-06|NVDA,1,0.002
reservoir,2021-04-06|ORCL,2,0.004
reservoir,2021-04-07|AAPL,1,0.002
reservoir,2021-04-07|AMD,2,0.004
reservoir,2021-04-07|ASML,2,0.004
reservoir,2021-04-07|INTC,4,0.008
reservoir,2021-04-07|META,1,0.002
reservoir,2021-04-07|MSFT,1,0.002
reservoir,2021-04-07|NVDA,0,0.0
reservoir,2021-04-07|ORCL,0,0.0
reservoir,2021-04-08|AAPL,2,0.004
reservoir,2021-04-08|AMD,1,0.002
reservoir,2021-04-08|ASML,2,0.004
reservoir,2021-04-08|INTC,3,0.006
reservoir,2021-04-08|META,0,0.0
reservoir,2021-04-08|MSFT,3,0.006
reservoir,2021-04-08|NVDA,2,0.004
reservoir,2021-04-08|ORCL,1,0.002
reservoir,2021-04-09|AAPL,4,0.008
reservoir,2021-04-09|AMD,4,0.008
reservoir,2021-04-09|ASML,3,0.006
reservoir,2021-04-09|INTC,5,0.01
reservoir,2021-04-09|META,0,0.0
reservoir,2021-04-09|MSFT,5,0.01
reservoir,2021-04-09|NVDA,3,0.006
reservoir,2021-04-09|ORCL,3,0.006
reservoir,2021-04-12|AAPL,2,0.004
reservoir,2021-04-12|AMD,1,0.002
reservoir,2021-04-12|ASML,2,0.004
reservoir,2021-04-12|INTC,2,0.004
reservoir,2021-04-12|META,1,0.002
reservoir,2021-04-12|MSFT,2,0.004
reservoir,2021-04-12|NVDA,3,0.006
reservoir,2021-04-12|ORCL,2,0.004
reservoir,2021-04-13|AAPL,1,0.002
reservoir,2021-04-13|AMD,2,0.004
reservoir,2021-04-13|ASML,2,0.004
reservoir,2021-04-13|INTC,3,0.006
reservoir,2021-04-13|META,3,0.006
reservoir,2021-04-13|MSFT,1,0.002
reservoir,2021-04-13|NVDA,2,0.004
reservoir,2021-04-13|ORCL,5,0.01
reservoir,2021-04-14|AAPL,3,0.006
reservoir,2021-04-14|AMD,2,0.004
reservoir,2021-04-14|ASML,0,0.0
reservoir,2021-04-14|INTC,4,0.008
reservoir,2021-04-14|META,2,0.004
reservoir,2021-04-14|MSFT,5,0.01
reservoir,2021-04-14|NVDA,0,0.0
reservoir,2021-04-14|ORCL,4,0.008
reservoir,2021-04-15|AAPL,3,0.006
reservoir,2021-04-15|AMD,1,0.002
reservoir,2021-04-15|ASML,0,0.0
reservoir,2021-04-15|INTC,4,0.008
reservoir,2021-04-15|META,4,0.008
reservoir,2021-04-15|MSFT,4,0.008
reservoir,2021-04-15|NVDA,3,0.006
reservoir,2021-04-15|ORCL,4,0.008
reservoir,2021-04-16|AAPL,3,0.006
reservoir,2021-04-16|AMD,0,0.0
reservoir,2021-04-16|ASML,1,0.002
reservoir,2021-04-16|INTC,2,0.004
reservoir,2021-04-16|META,1,0.002
reservoir,2021-04-16|MSFT,5,0.01
reservoir,2021-04-16|NVDA,3,0.006
reservoir,2021-04-16|ORCL,2,0.004
reservoir,2021-04-19|AAPL,0,0.0
reservoir,2021-04-19|AMD,3,0.006
reservoir,2021-04-19|ASML,2,0.004
reservoir,2021-04-19|INTC,3,0.006
reservoir,2021-04-19|META,6,0.012
reservoir,2021-04-19|MSFT,3,0.006
reservoir,2021-04-19|NVDA,1,0.002
reservoir,2021-04-19|ORCL,1,0.002
reservoir,2021-04-20|AAPL,1,0.002
reservoir,2021-04-20|AMD,5,0.01
reservoir,2021-04-20|ASML,3,0.006
reservoir,2021-04-20|INTC,2,0.004
reservoir,2021-04-20|META,7,0.014
reservoir,2021-04-20|MSFT,1,0.002
reservoir,2021-04-20|NVDA,0,0.0
reservoir,2021-04-20|ORCL,1,0.002
reservoir,2021-04-21|AAPL,3,0.006
reservoir,2021-04-21|AMD,3,0.006
reservoir,2021-04-21|ASML,2,0.004
reservoir,2021-04-21|INTC,2,0.004
reservoir,2021-04-21|META,2,0.004
reservoir,2021-04-21|MSFT,2,0.004
reservoir,2021-04-21|NVDA,5,0.01
reservoir,2021-04-21|ORCL,2,0.004
reservoir,2021-04-22|AAPL,6,0.012
reservoir,2021-04-22|AMD,1,0.002
reservoir,2021-04-22|ASML,4,0.008
reservoir,2021-04-22|INTC,1,0.002
reservoir,2021-04-22|META,3,0.006
reservoir,2021-04-22|MSFT,4,0.008
reservoir,2021-04-22|NVDA,1,0.002
reservoir,2021-04-22|ORCL,2,0.004
reservoir,2021-04-23|AAPL,2,0.004
reservoir,2021-04-23|AMD,5,0.01
reservoir,2021-04-23|ASML,3,0.006
reservoir,2021-04-23|INTC,1,0.002
reservoir,2021-04-23|META,2,0.004
reservoir,2021-04-23|MSFT,5,0.01
reservoir,2021-04-23|NVDA,1,0.002
reservoir,2021-04-23|ORCL,3,0.006
reservoir,2021-04-26|AAPL,0,0.0
reservoir,2021-04-26|AMD,0,0.0
reservoir,2021-04-26|ASML,1,0.002
reservoir,2021-04-26|INTC,1,0.002
reservoir,2021-04-26|META,2,0.004
reservoir,2021-04-26|MSFT,1,0.002
reservoir,2021-04-26|NVDA,2,0.004
reservoir,2021-04-26|ORCL,1,0.002
reservoir,2021-04-27|AAPL,2,0.004
reservoir,2021-04-27|AMD,4,0.008
reservoir,2021-04-27|ASML,2,0.004
reservoir,2021-04-27|INTC,5,0.01
reservoir,2021-04-27|META,5,0.01
reservoir,2021-04-27|MSFT,2,0.004
reservoir,2021-04-27|NVDA,5,0.01
reservoir,2021-04-27|ORCL,7,0.014
reservoir,2021-04-28|AAPL,3,0.006
reservoir,2021-04-28|AMD,5,0.01
reservoir,2021-04-28|ASML,3,0.006
reservoir,2021-04-28|INTC,2,0.004
reservoir,2021-04-28|META,7,0.014
reservoir,2021-04-28|MSFT,3,0.006
reservoir,2021-04-28|NVDA,4,0.008
reservoir,2021-04-28|ORCL,2,0.004
reservoir,2021-04-29|AAPL,3,0.006
reservoir,2021-04-29|AMD,2,0.004
reservoir,2021-04-29|ASML,1,0.002
reservoir,2021-04-29|INTC,1,0.002
reservoir,2021-04-29|META,2,0.004
reservoir,2021-04-29|MSFT,2,0.004
reservoir,2021-04-29|NVDA,1,0.002
reservoir,2021-04-29|ORCL,7,0.014
reservoir,2021-04-30|AAPL,0,0.0
reservoir,2021-04-30|AMD,3,0.006
reservoir,2021-04-30|ASML,2,0.004
reservoir,2021-04-30|INTC,5,0.01
reservoir,2021-04-30|META,2,0.004
reservoir,2021-04-30|MSFT,3,0.006
