method,stream_length_n,k,repeats,runtime_ms_mean,runtime_ms_std
heap,1000,10,5,0.0653501832857728,0.0018046300935721973
reservoir,1000,10,5,0.2691754139959812,0.02596176173251351
heap,1000,50,5,0.08774162270128727,0.00507394078866427
reservoir,1000,50,5,0.2396913943812251,0.00704741129961941
heap,1000,100,5,0.10903318179771304,0.004116626985511837
reservoir,1000,100,5,0.25285837473347783,0.006344982687100002
heap,10000,10,5,0.5772000062279403,0.02421083861223604
reservoir,10000,10,5,2.3324665962718427,0.03220885105658259
heap,10000,50,5,0.6327501847408712,0.05561671637265762
reservoir,10000,50,5,2.3964414140209556,0.027178538071025077
heap,10000,100,5,0.6802500109188259,0.03305006819415652
reservoir,10000,100,5,2.3849249933846295,0.021067114501727636
heap,10048,10,5,0.5966913886368275,0.008525869586074302
reservoir,10048,10,5,2.345349977258593,0.0502401676057301
heap,10048,50,5,0.6350665935315192,0.006001290542920444
reservoir,10048,50,5,2.4328916100785136,0.05934518157560262
heap,10048,100,5,0.6838664063252509,0.008540158530449137
reservoir,10048,100,5,2.510591596364975,0.022086380231012646
